    93    0.42895E+04    0.27433E+00   -0.13310E+02    0.54501E+06    0.58307E+04
    94    0.43358E+04    0.28257E+00   -0.13777E+02    0.53440E+06    0.57618E+04
    95    0.43822E+04    0.29092E+00   -0.14250E+02    0.52398E+06    0.56937E+04
    96    0.44284E+04    0.29937E+00   -0.14731E+02    0.51376E+06    0.56264E+04
    97    0.44750E+04    0.30792E+00   -0.15219E+02    0.50372E+06    0.55599E+04
    98    0.45216E+04    0.31657E+00   -0.15711E+02    0.49386E+06    0.54941E+04
    99    0.45682E+04    0.32529E+00   -0.16212E+02    0.48419E+06    0.54291E+04
   100    0.46149E+04    0.33409E+00   -0.16717E+02    0.47470E+06    0.53647E+04
   101    0.46616E+04    0.34304E+00   -0.17229E+02    0.46538E+06    0.53010E+04
   102    0.47086E+04    0.35200E+00   -0.17748E+02    0.45623E+06    0.52379E+04
   103    0.47555E+04    0.36105E+00   -0.18273E+02    0.44726E+06    0.51754E+04
   104    0.48024E+04    0.37021E+00   -0.18803E+02    0.43845E+06    0.51135E+04
   105    0.48494E+04    0.37941E+00   -0.19339E+02    0.42980E+06    0.50522E+04
   106    0.48964E+04    0.38873E+00   -0.19881E+02    0.42131E+06    0.49914E+04
   107    0.49432E+04    0.39803E+00   -0.20429E+02    0.41299E+06    0.49310E+04
   108    0.49903E+04    0.40740E+00   -0.20982E+02    0.40481E+06    0.48712E+04
   109    0.50374E+04    0.41677E+00   -0.21541E+02    0.39679E+06    0.48118E+04
   110    0.50844E+04    0.42615E+00   -0.22104E+02    0.38892E+06    0.47528E+04
   111    0.51315E+04    0.43563E+00   -0.22672E+02    0.38119E+06    0.46941E+04
   112    0.51785E+04    0.44514E+00   -0.23246E+02    0.37361E+06    0.46360E+04
   113    0.52257E+04    0.45468E+00   -0.23824E+02    0.36617E+06    0.45782E+04
   114    0.52728E+04    0.46419E+00   -0.24406E+02    0.35887E+06    0.45210E+04
   115    0.53200E+04    0.47384E+00   -0.24993E+02    0.35171E+06    0.44643E+04
   116    0.53671E+04    0.48339E+00   -0.25582E+02    0.34468E+06    0.44081E+04
   117    0.54143E+04    0.49295E+00   -0.26175E+02    0.33778E+06    0.43525E+04
   118    0.54616E+04    0.50265E+00   -0.26772E+02    0.33102E+06    0.42975E+04
   119    0.55088E+04    0.51237E+00   -0.27371E+02    0.32438E+06    0.42432E+04
   120    0.55560E+04    0.52197E+00   -0.27972E+02    0.31787E+06    0.41895E+04
   121    0.56030E+04    0.53174E+00   -0.28576E+02    0.31149E+06    0.41366E+04
   122    0.56501E+04    0.54140E+00   -0.29182E+02    0.30522E+06    0.40844E+04
   123    0.56970E+04    0.55104E+00   -0.29790E+02    0.29908E+06    0.40330E+04
   124    0.57440E+04    0.56073E+00   -0.30398E+02    0.29306E+06    0.39824E+04
   125    0.57908E+04    0.57041E+00   -0.31009E+02    0.28715E+06    0.39326E+04
   126    0.58375E+04    0.58016E+00   -0.31621E+02    0.28136E+06    0.38838E+04
   127    0.58842E+04    0.58984E+00   -0.32234E+02    0.27568E+06    0.38358E+04
   128    0.59307E+04    0.59962E+00   -0.32849E+02    0.27011E+06    0.37887E+04
   129    0.59772E+04    0.60934E+00   -0.33463E+02    0.26464E+06    0.37427E+04
   130    0.60236E+04    0.61902E+00   -0.34077E+02    0.25929E+06    0.36976E+04
